,bandwidth
0,1766452
1,2810698
2,3227852
3,4132442
4,2942908
5,3723300
6,4012200
7,3935600
8,4163050
9,4410450
10,3910950
11,3402350
12,3882250
13,4118850
14,4623750
15,5448950
16,5742550
17,5447600
18,4823200
19,4445212
20,5274788
21,4755048
22,5325422
23,4864682
24,3132000
25,3989250
26,4203900
27,5427000
28,5369298
29,2279802
30,3159000
31,4056750
32,3483000
33,2447900
34,3694738
35,2175456
36,2017506
37,3067200
38,2864746
39,2444802
40,2479952
41,3868678
42,3556322
43,2112750
44,2482650
45,3312900
46,4364550
47,1540350
48,2010150
49,1449900
50,992250
51,3477600
52,2685026
53,3286438
54,3044112
55,2719128
56,5636082
57,4842244
58,4087808
59,3925662
60,3180784
61,4766758
62,5852764
63,3254272
64,3002978
65,1697300
66,1718898
67,2234902
68,1690212
69,3102622
70,3131338
71,6043256
72,4979822
73,905722
74,3653632
75,7135232
76,6095082
77,5833264
78,2936324
79,5449728
80,6521300
81,4727858
82,4201910
83,3403900
84,5537792
85,5099878
86,5244378
87,5351424
88,4246560
89,4874240
90,6713344
91,6519150
92,5557890
93,3602268
94,4542464
95,6433244
96,4468060
97,5002322
98,3438802
99,4771840
100,6416384
101,5486824
102,5111312
103,4411508
104,3723264
105,6449344
106,4849256
107,5403120
108,2584652
109,4489216
110,4873976
111,4659156
112,5206674
113,3730202
114,4421632
115,5450576
116,3763834
117,3666014
118,3453698
119,4758594
120,4177860
121,2581090
122,4946006
123,4064480
124,4189354
125,3712936
126,3719168
127,6156288
128,4627698
129,3813376
130,6569984
131,6428672
132,6100992
133,5095370
134,3018752
135,6496256
136,6663578
137,3908442
138,2944508
139,2978836
140,2825816
141,2114100
142,1326396
143,1585086
144,1133118
145,985538
146,1745512
147,3099600
148,3582514
149,4380000
150,4218060
151,3282978
152,2967154
153,2616380
154,3193600
155,4233468
156,3207612
157,3543738
158,3593462
159,3418112
160,6029312
161,5572608
162,5959680
163,5017192
164,2322220
165,4650840
166,3469144
167,3603526
168,2635200
169,2167992
170,3714100
171,2680958
172,2274748
173,2786440
174,3742576
175,2249384
176,2630452
177,2393550
178,3662550
179,3171498
180,1837674
181,4418530
182,2328032
183,1982564
184,2940674
185,2889930
186,1476246
187,3675354
188,3405952
189,3265080
190,3097580
191,2091314
192,2581696
193,2936928
194,2751300
195,2469998
196,2639752
197,2991600
198,2276512
199,2626036
200,3445402
201,3994806
202,3899420
203,4773456
204,3811478
205,5108378
206,3832210
207,5252702
208,4565758
209,2767380
210,5937152
211,5264458
212,3991378
213,2660824
214,1604498
215,1423552
216,1902602
217,1691144
218,1792754
219,1744550
220,1120148
221,3312730
222,3771374
223,4066944
224,3415680
225,3309274
226,2830300
227,2481950
228,3130138
229,3411124
230,3346316
231,2249200
232,2741066
233,2841438
234,3301568
235,2573114
236,2834750
237,3313138
238,3381750
239,3310200
240,4809946
241,4973420
242,5967872
243,5720064
244,3667320
245,2899968
246,4634744
247,3101060
248,2020858
249,3082050
250,3547414
251,2604536
252,2484632
253,2769568
254,2553006
255,3447204
256,3653732
257,3120670
258,3504232
259,3271860
260,3389982
261,2832854
262,3859442
263,3785984
264,3999126
265,4395008
266,5455628
267,5550536
268,5710712
269,4134324
270,3457024
271,6762496
272,5890048
273,5865472
274,5693440
275,3682304
276,5183488
277,6780928
278,6086656
279,5464802
280,2998272
281,5638144
282,6330368
283,6153338
284,4812800
285,2727936
286,6676480
287,6572032
288,5947392
289,5373164
290,3186688
291,6512640
292,6541312
293,5935784
294,5966856
295,2744320
296,5826560
297,5920768
298,6443008
299,5730304
300,2727936
301,6414336
302,6643712
303,5912576
304,5308922
305,3981312
306,6172672
307,6591756
308,4084882
309,3471996
310,3511390
311,3903790
312,4094550
313,4531576
314,3896474
315,2695952
316,1846800
317,3195448
318,3904292
319,4166646
320,3738922
321,5934626
322,4438716
323,4777222
324,4170576
325,3331726
326,5709824
327,4419136
328,5882160
329,4801826
330,3415826
331,5980160
332,6785024
333,5868068
334,5983706
335,4447316
336,4302848
337,7159808
338,6178682
339,5308718
340,4121860
341,4534272
342,6848512
343,6534412
344,4947186
345,3934208
346,5081088
347,7391232
348,5758322
349,6226040
350,4710176
351,3997696
352,7120896
353,6469496
354,5373340
355,3928470
356,4210688
357,6626238
358,5637088
359,5148770
360,3686864
361,5120000
362,7319552
363,6463974
364,5908958
365,3936838
366,3817472
367,7485440
368,5939878
369,5976274
370,3517878
371,4771840
372,7149568
373,5678410
374,6124780
375,3837900
376,4423680
377,7221248
378,6320940
379,5769500
380,5042422
381,3727360
382,7077888
383,6624162
384,5803574
385,4669268
386,3428352
387,7112704
388,5129684
389,4977838
390,2628314
391,4691968
392,5900486
393,3625238
394,3627002
395,2610102
396,3629624
397,3051402
398,2686520
399,3335132
400,3106350
401,2756842
402,2560174
403,2646000
404,2307152
405,2436750
406,2515050
407,2728350
408,2358450
409,2178898
410,1315076
411,1780476
412,1422900
413,1252848
414,220002
415,1373042
416,2072158
417,2064150
418,2748738
419,2548662
420,1795500
421,1498850
422,1047600
423,985150
424,778950
425,1440452
426,1472132
427,1421268
428,912248
429,996302
430,1425600
431,1628098
432,1466102
433,942300
434,1439098
435,1462050
436,1452602
437,1776600
438,1396598
439,1222402
440,1308148
441,2138400
442,1530928
443,1560586
444,1534938
445,1130970
446,2257530
447,2407748
448,2154534
449,2001768
450,713800
451,1605894
452,2458956
453,2572494
454,2461656
455,3370296
456,4488052
457,4884302
458,4553518
459,4581034
460,3000918
461,2729380
462,3636036
463,5051214
464,5183258
465,5607188
466,3981312
467,5943296
468,6648580
469,5718768
470,5213698
471,3821900
472,4782080
473,7312282
474,6373326
475,5857572
476,3504128
477,4943872
478,6889472
479,5646572
480,4469382
481,3432144
482,5062656
483,5309418
484,4572800
485,4884878
486,4210446
487,4861690
488,3697936
489,3435630
490,3707220
491,3709414
492,5766728
493,5607406
494,5830230
495,4242820
496,3229052
497,4838356
498,4414698
499,4737994
500,6183804
501,4519790
502,4337664
503,6528146
504,5091200
505,4964950
506,4485380
507,4333568
508,4919956
509,3669146
510,3394752
511,3280904
512,5001280
513,4587550
514,3773020
515,4322700
516,3673698
517,5006802
518,2821684
519,2576964
520,1885952
521,1501200
522,1325700
523,1192096
524,1602402
525,3171164
526,3303438
527,1264950
528,3291346
529,5032600
530,5688872
