,bandwidth
0,0
1,1591988
2,1801628
3,1407960
4,2425184
5,5488332
6,3429904
7,3091768
8,1641252
9,1204224
10,4722040
11,5033952
12,3568908
13,4418304
14,3574712
15,4867032
16,4718208
17,4917192
18,4197672
19,3365800
20,5685260
21,4388500
22,3123196
23,4060324
24,2768724
25,1064960
26,1778012
27,4149344
28,2751224
29,2674276
30,3379436
31,2714872
32,1945164
33,1957296
34,1384396
35,892376
36,1488192
37,118624
38,1823844
39,265556
40,634312
41,1287444
42,894216
43,2165588
44,2396044
45,2549068
46,2427748
47,2731756
48,3067392
49,3139440
50,3276988
51,2074572
52,3093228
53,2780844
54,1128004
55,3471360
56,1944340
57,3207592
58,2004688
59,2753104
60,1962040
61,2816880
62,2011632
63,2138548
64,1597380
65,279036
66,737356
67,1927640
68,2938640
69,2803840
70,2392804
71,885532
72,346436
73,2823864
74,4344500
75,4040256
76,3872804
77,3241940
78,3679796
79,3827380
80,4541248
81,4526536
82,4164020
83,4162780
84,3608968
85,4696112
86,3937924
87,2088076
88,4611508
89,1568768
90,5458356
91,2062440
92,5697996
93,1617600
94,3292348
95,3651952
96,3714104
97,1847640
98,2322944
99,1437152
100,2627584
101,4080752
102,3519848
103,5150624
104,3275400
105,5599140
106,3780536
107,4000584
108,3948936
109,2814908
110,3477140
111,3829668
112,3065352
113,5234276
114,5882616
115,4628480
116,7398440
117,5908576
118,6557528
119,5441424
120,2938880
121,7237632
122,7794688
123,7337984
124,5470208
125,3543040
126,7098368
127,7315456
128,5538920
129,3219024
130,830224
131,7135124
132,7057048
133,7291080
134,5506868
135,3555328
136,7876608
137,8056832
138,7522304
139,5773312
140,2732032
141,968704
142,7219200
143,8192000
144,6178816
145,4171776
146,7061504
147,7380992
148,7458816
149,5613036
150,3854336
151,5961728
152,8007680
153,7362372
154,4751424
155,4620288
156,5914624
157,7774208
158,7995392
159,6762496
160,3317760
161,5593088
162,7804928
163,7653376
164,5457104
165,3889152
166,5560320
167,3347348
168,1256520
169,4631544
170,2964252
171,3321472
172,5355716
173,5807072
174,3999444
175,3674112
176,4496448
177,3943192
178,3914124
179,2960640
180,3850720
181,4619596
182,5825748
183,4250488
184,4157296
185,2819276
186,2817084
187,3263240
188,2256448
189,2770140
190,1618948
191,2124448
192,2184644
193,2565708
194,2214168
195,2154496
196,3817740
197,2518064
198,2573332
199,2986392
200,2799276
201,2863100
202,1671264
203,2233400
204,4033508
205,3841300
206,3134412
207,3959412
208,2943572
209,3068508
210,3799040
211,4194600
212,4378304
213,3344580
214,5832996
215,2714848
216,5436116
217,4738220
218,5015908
219,2647604
220,2808856
221,5150748
222,1933184
223,1752400
224,854632
225,2549068
226,3865500
227,3715160
228,4239564
229,1663380
230,3325536
231,5345888
232,4940420
233,4720156
234,3820772
235,3629784
236,5000788
237,3811468
238,5998124
239,3520104
240,2600208
241,4718060
242,4292056
243,3155668
244,3642296
245,2209552
246,4504836
247,3191268
248,2749228
249,2949564
250,3116544
251,1054168
252,1376308
253,1365524
254,1384396
255,4330892
256,3939088
257,3515044
258,2399980
259,3264468
260,3805184
261,4234676
262,3244636
263,2060444
264,2826056
265,1682304
266,1144452
267,2682936
268,258400
269,1062224
270,578292
271,2519412
272,1279252
273,973256
274,1082444
275,830368
276,917988
277,835760
278,730616
279,222420
280,824976
281,1841368
282,471800
283,459668
284,1322388
285,1098620
286,597164
287,1027396
288,2253636
289,1542112
290,1790144
291,1085140
292,1410008
293,2467880
294,2858716
295,2038176
296,3170496
297,1186240
298,1457888
299,1599376
300,1188936
301,451580
302,217028
303,181980
304,659172
305,869460
306,1596032
307,1497628
308,1327780
309,0
310,3473796
311,1776664
312,1702992
313,151856
314,2226896
315,2105576
316,1670172
317,2023472
318,1443584
319,2054352
320,1111964
321,2383872
322,2463336
323,2111952
324,2132536
325,2137928
326,1682304
327,2062440
328,2230940
329,2097488
330,2193196
331,2196388
332,2250664
333,2133884
334,2241724
335,1846760
336,2431792
337,1769924
338,2122400
339,1566376
340,2369784
341,2241724
342,1844064
343,2426400
344,2505932
345,1610860
