,bandwidth
0,3068696
1,6167152
2,4746256
3,4645208
4,3112532
5,4682952
6,3564112
7,3511540
8,3259464
9,2865304
10,2434280
11,3001996
12,2410224
13,4359980
14,4174304
15,4141152
16,3643452
17,2941336
18,2270032
19,1749704
20,1445056
21,1450500
22,2229592
23,1707864
24,1517848
25,524372
26,1889896
27,915292
28,611344
29,1327080
30,1298124
31,1480104
32,1593336
33,1758752
34,1714448
35,1251152
36,962860
37,1465276
38,1503668
39,1596292
40,1771712
41,1842716
42,1961340
43,2142620
44,2588212
45,2359104
46,2842232
47,2922360
48,2703440
49,2686512
50,1726788
51,1032568
52,1463928
53,1109404
54,1645284
55,1890520
56,2699448
57,2586760
58,2898900
59,2919924
60,2792148
61,3154424
62,4327368
63,4823224
64,5873008
65,5261064
66,4837376
67,4505548
68,3530776
69,3844832
70,2945536
71,3260556
72,4221836
73,4208504
74,4049572
75,4966108
76,3749020
77,5378132
78,5396148
79,5142516
80,5301684
81,4994084
82,3762660
83,3421228
84,5047112
85,5708388
86,3595544
87,4954112
88,3874272
89,4561400
90,6705152
91,5263360
92,4255744
93,6955008
94,6922396
95,3131572
96,4571744
97,4093952
98,6580224
99,6443008
100,6830080
101,5242880
102,4976640
103,5799936
104,6656000
105,6955008
106,5365760
107,4747264
108,5208064
109,6594560
110,6586368
111,5163008
112,4730880
113,5791744
114,6666240
115,6492160
116,5185536
117,5017600
118,868352
119,5152768
120,6787072
121,4132864
122,2504704
123,2373632
124,6780928
125,7002112
126,4608000
127,4296704
128,5150720
129,6574080
130,7618560
131,5314560
132,4939776
133,4694016
134,6445056
135,6608896
136,5443584
137,4585472
138,5261312
139,6471680
140,5267456
141,4427776
142,4317184
143,5021696
144,6447104
145,6359040
146,5924864
147,4831232
148,4626432
149,6129664
150,6400000
151,5447680
152,4472832
153,5636096
154,6676480
155,6823936
156,5218304
157,4603904
158,4808704
159,6320128
160,5905336
161,4711728
162,3735552
163,5791744
164,4514016
165,3317636
166,2722916
167,3075816
168,2190992
169,1990996
170,1920900
171,1524588
172,1019088
173,2243772
174,1341908
175,1210504
176,1308908
177,1484148
178,1257036
179,1211152
180,2329344
181,2352452
182,2020460
183,1328480
184,1389788
185,2036336
186,2395888
187,1949856
188,2379220
189,2951220
190,3265912
191,3270228
192,4128244
193,4065640
194,3695684
195,3399312
196,3056284
197,2694284
198,2101560
199,2502508
200,1899332
201,1472016
202,2162192
203,2089400
204,1423488
205,874852
206,1190284
207,1578508
208,2200636
209,2212820
210,1656588
211,1403268
212,687480
213,0
214,0
215,0
216,3810132
217,6258688
218,6946816
219,6576128
220,6848512
221,6909952
222,5820416
223,5054464
224,4788224
225,6729728
226,6934528
227,5197824
228,4775936
229,6133760
230,6844416
231,6918144
232,4517888
233,4433920
234,6653952
235,6846464
236,7079936
237,4777984
238,5120000
239,7559168
240,6799360
241,6985728
242,5513216
243,4610048
244,1984512
245,4304896
246,6801408
247,5900288
248,4442112
249,6010880
250,6615040
251,6840320
252,5795840
253,4947968
254,5144576
255,6359040
256,6699008
257,5320704
258,5120000
259,4941824
260,6715392
261,6942720
262,6434816
263,5398528
264,4286464
265,4769792
266,6352896
267,6922240
268,6975488
269,6541312
270,5849088
271,5439488
272,4726784
273,6316032
274,6301696
275,5543936
276,4911104
277,5171416
278,3874516
279,6590464
280,6502400
281,5955584
282,5670912
283,5730304
284,4597760
285,6193152
286,5859328
287,6199296
288,6158336
289,4608000
290,5654528
291,6731776
292,6828032
293,4268032
294,4296704
295,6795264
296,6586368
297,7047168
298,4798464
299,4141056
300,6127616
301,7188480
302,6920192
303,4052992
304,4456448
305,6852608
306,6627328
307,6955008
308,4313088
309,3952640
310,6985728
311,6555648
312,7213056
313,4792320
314,4046848
315,6782976
316,6813696
317,7182336
318,4472832
319,1802240
320,2306048
321,6053888
322,7294976
323,4851712
324,5113856
325,7680000
326,6877184
327,4681964
328,3972764
329,3739624
330,3217760
331,2642260
332,2146716
333,1085192
334,2842828
335,2888588
336,3735484
337,3929420
338,3189452
339,3050440
340,2476588
341,3501792
342,3157100
343,2350440
344,2943072
345,3416532
346,3756912
347,4058236
348,4348504
349,4913152
350,4449264
351,4487880
352,4483204
353,4147096
354,3440304
355,3460964
356,2789792
357,3055628
358,3054568
359,2821364
360,2901596
361,3100452
362,3240204
363,2781208
364,2342176
365,2510624
366,2433712
367,2659032
368,2569288
369,2485480
370,2767676
371,2956684
372,3326344
373,3846548
374,4529980
375,4276500
376,3438048
377,3653080
378,3453992
379,2364624
380,2221920
381,2286056
382,2350648
383,2212620
384,2357100
385,2536936
386,2648384
387,3022344
388,2962512
389,2947636
390,2689700
391,2730064
392,2809856
393,2921712
394,2644752
395,2825872
396,2988488
397,3167800
398,3344936
399,2877432
400,2709120
401,2585824
402,2801144
403,2836192
404,2694504
405,2904104
406,2915672
407,2878628
408,2779500
409,3074008
410,2807652
411,3670732
412,2669016
413,2204808
414,3362188
415,2744256
416,2499732
417,2460748
418,2175648
419,1825216
