,bandwidth
0,0
1,722528
2,1570420
3,3916672
4,5682848
5,5243308
6,3092480
7,5586360
8,6627700
9,6101048
10,5180788
11,4282992
12,1138688
13,4755456
14,3848380
15,741400
16,0
17,845540
18,1892248
19,1985580
20,3598228
21,4127328
22,4950016
23,6387624
24,7561216
25,5786924
26,1714008
27,2328644
28,2055700
29,942252
30,2212744
31,1952576
32,2505196
33,3934200
34,2075920
35,2377872
36,2158148
37,3043136
38,3707572
39,2828180
40,4340760
41,3457232
42,3205916
43,3336064
44,2967000
45,3340292
46,2950772
47,3115128
48,1814508
49,1316996
50,725788
51,4906856
52,4304436
53,5045432
54,5971448
55,4976816
56,3981992
57,913552
58,2781184
59,6233284
60,2701392
61,2764748
62,3099052
63,5133540
64,5912332
65,5303724
66,6414936
67,3916852
68,5050368
69,8239104
70,7802880
71,7913472
72,4448256
73,4046848
74,7712768
75,7897088
76,7062868
77,3564060
78,1955948
79,5189396
80,6831144
81,5612472
82,4428084
83,4173824
84,8015872
85,7322696
86,6974732
87,2607916
88,1966080
89,4034560
90,7448576
91,8067324
92,4649936
93,3322188
94,4782896
95,2569044
96,1411464
97,2467516
98,2529752
99,3461324
100,2198420
101,2811736
102,2432152
103,2111668
104,2128440
105,1844064
106,2270836
107,1798396
108,871940
109,1486092
110,1546156
111,1079748
112,935512
113,988084
114,1504368
115,749488
116,1176804
117,866868
118,844392
119,799364
120,1348052
121,1339860
122,936860
123,601208
124,628168
125,386228
126,322172
127,461016
128,688828
129,939556
130,1396528
131,339696
132,0
133,0
134,0
135,2961556
136,3145584
137,3615144
138,6471940
139,4815704
140,4317696
141,3258104
142,2639368
143,5236736
144,4192500
145,2445696
146,4998532
147,3117696
148,3041392
149,2807884
150,444840
151,0
152,0
153,0
154,0
155,0
156,613335
157,877444
158,2023348
159,3121128
160,4933172
161,6284500
162,6065876
163,6727340
164,7219936
165,1925120
166,2891776
167,2207744
168,5357568
169,7778304
170,5373952
171,5230592
172,7872512
173,7286784
174,7909376
175,5197824
176,3977216
177,7352320
178,7636020
179,6261008
180,4702208
181,4169728
182,7366656
183,8067072
184,5395616
185,4116480
186,3735552
187,7825408
188,4439768
189,2999268
190,3721100
191,2601052
192,2892808
193,1225332
194,2478972
195,489324
196,754880
197,393616
198,0
199,0
200,0
201,2844280
202,2125796
203,1512900
204,1673772
205,1958644
206,1662084
207,1079748
208,457856
209,2951236
210,1818452
211,2187804
212,1612208
213,2839308
214,5023264
215,4710224
216,5353052
217,5515264
218,7682048
219,7557120
220,7868416
221,6082560
222,3608576
223,4716544
224,5372612
225,5759784
226,3394780
227,4679680
228,4956176
229,3080264
230,5146020
231,4830988
232,4409344
233,6243760
234,6834872
235,5066148
236,3301320
237,3199660
238,2077760
239,3235200
240,1385044
241,3137100
242,5182756
243,2777788
244,2189592
245,2573332
246,1986952
247,1607620
248,3661712
249,3252724
250,2632644
251,2462368
252,2771792
253,2516740
254,2000532
255,1570420
256,2619320
257,1870868
258,1125580
259,1718700
260,2696
261,0
262,3002080
263,2570552
264,345088
265,962472
266,1246900
267,1931684
268,1198372
269,2129840
270,2504584
271,1476060
272,1666128
273,1655344
274,630864
275,2670388
276,3094888
277,2126928
278,2881012
279,2886184
280,3452112
281,2463840
282,3986340
283,1775316
284,459668
285,214332
286,629516
287,811496
288,907204
