,bandwidth
0,0
1,4216648
2,4868172
3,5928504
4,5213416
5,6602752
6,6461268
7,5713672
8,4284748
9,8024448
10,6383616
11,5270276
12,5924148
13,3082880
14,2304000
15,3346432
16,6574080
17,5137540
18,3708608
19,4382404
20,2454836
21,3510280
22,6254660
23,2359876
24,3488884
25,1828308
26,5952736
27,3073440
28,2877056
29,3968988
30,4332848
31,5204700
32,5199332
33,4096168
34,4268800
35,2928480
36,1668824
37,1934380
38,92160
39,3245488
40,1871024
41,1827888
42,1529980
43,1920972
44,2101460
45,1302480
46,1299860
47,1053436
48,343508
49,2758940
50,1925048
51,2084708
52,2165072
53,1844528
54,1683652
55,481236
56,305996
57,0
58,3624412
59,7155712
60,6565888
61,4376576
62,7036928
63,7254016
64,7413760
65,7256064
66,4214784
67,3981312
68,6623232
69,7063552
70,7385088
71,4446208
72,4059136
73,9791488
74,8928524
75,6003544
76,4851712
77,3395584
78,5656576
79,7073792
80,6764544
81,4069376
82,835584
83,5062656
84,7546880
85,7090176
86,5113856
87,3956736
88,5351424
89,6420480
90,6719488
91,5431296
92,4538368
93,1458252
94,3467056
95,4942548
96,3535728
97,5849088
98,4039784
99,3580288
100,5337176
101,3740344
102,3839664
103,3755520
104,2904612
105,3099648
106,2414784
107,4291256
108,3487276
109,2559852
110,3320124
111,3660304
112,4193488
113,4501976
114,3844496
115,4403916
116,5220804
117,4142404
118,4564328
119,3921332
120,4593392
121,3843044
122,4513704
123,3746872
124,4021464
125,3248084
126,4076552
127,4504996
128,3733960
129,4674864
130,2830800
131,4660768
132,4157848
133,3531760
134,2170280
135,2438532
136,2124448
137,1884504
138,1738920
139,1598080
140,4162728
141,3558028
142,3096244
143,3887632
144,3592040
145,3482192
146,3239964
147,4094732
148,4386636
149,5405728
150,2893508
151,2882756
152,3858432
153,4662192
154,4812464
155,4903920
156,5648124
157,3244032
158,6500352
159,7094272
160,6811648
161,6322176
162,4263936
163,4923392
164,7294976
165,6922616
166,5697076
167,3625500
168,5582848
169,7364184
170,2957512
171,6467584
172,3375104
173,866304
174,5728256
175,7081984
176,6483968
177,4204544
178,5994496
179,7280640
180,5714004
181,6340336
182,4247552
183,4198400
184,6979584
185,6963200
186,7309312
187,3816412
188,4171776
189,6981632
190,7491584
191,4775868
192,2255784
193,4640204
194,3854960
195,3785292
196,3675448
197,3077040
198,3186856
199,2592204
200,2427748
201,2196668
202,2637260
203,4044
204,4443008
205,2402760
206,4122428
207,4118760
208,5543028
209,5918876
210,5904240
211,5212820
212,5298476
213,3618816
214,7143424
215,7831552
216,6203392
217,4755456
218,4859904
219,5728256
220,7057408
221,6795264
222,5662720
223,4468736
224,5120000
225,6748160
226,7049216
227,5894144
228,4145152
229,5148672
230,6948864
231,6549504
232,5818368
233,5345280
234,5017600
235,6754304
236,5709824
237,6588416
238,3518464
239,4392960
240,6684672
241,6813696
242,6647808
243,3690496
244,4450304
245,6727680
246,6516736
247,6549504
248,3835904
249,4780032
250,7041024
251,7016448
252,4401504
253,1675380
254,1310720
255,6875136
256,6987776
257,6576128
258,4212736
259,5308416
260,6828032
261,7309312
262,6903808
263,4665344
264,3182592
265,6721536
266,6774784
267,6672384
268,4012032
269,4593664
270,7086080
271,7462912
272,7065600
273,5720064
274,4110336
275,4657152
276,6852608
277,6934528
278,5230592
279,3727360
280,5640192
281,7335936
282,6955008
283,5541888
284,4407296
285,5525504
286,6848512
287,6619136
288,6475776
289,3866624
290,4923392
291,6383616
292,6746112
293,6658048
294,4141056
295,4268032
296,6744496
297,3671112
298,3155020
299,3833964
300,7147520
301,6562864
302,6946780
303,5937876
304,3309568
305,1155072
306,6967296
307,5554964
308,1196560
309,4864716
310,6075152
311,5966508
312,6427504
313,5186492
314,3389440
315,5615616
316,7301120
317,5449568
318,5888388
319,2723840
320,5734400
321,7278592
322,7053312
323,6750208
324,4141056
325,3538944
326,5689344
327,4368384
328,5015552
329,4435968
330,5447680
331,6656000
332,5472848
333,4436968
334,3875088
335,4930048
336,3872908
337,3591616
338,3816188
339,2843476
340,3626924
341,3258116
342,3083120
343,4709856
344,3432528
345,5447600
346,5174580
347,5327296
348,5276072
349,831488
350,3276800
351,6131712
352,7096320
353,6740184
354,3760128
355,5062656
356,4361776
357,5059088
358,4468076
359,4301416
360,4595712
361,5540600
362,4489808
363,4311488
364,3770356
365,3480588
366,3316028
367,3106208
368,3936600
369,3678640
370,4190892
371,2947368
372,3594324
373,5225584
374,3661484
375,5663332
376,4788912
377,4868432
378,4974964
379,4566020
380,4313088
381,6627328
382,6523196
383,5980760
384,3497820
385,4300800
386,5545984
387,6959104
388,6746112
389,3722920
390,4628480
391,5029872
392,5936004
393,5778116
394,4677632
395,3969024
396,6952960
397,6549504
398,6866944
399,5036032
400,3837952
401,7131136
402,1705188
403,2411936
404,3631336
405,3175000
406,5830836
407,4912724
408,4017040
409,2808912
410,4767744
411,7008256
412,5946472
413,5716764
414,5376816
415,4374528
416,5111808
417,6435356
418,3453576
419,2516304
420,1434036
421,4941068
422,5189312
423,6348412
424,5087900
425,4786176
426,5849088
427,6647808
428,7057408
429,6119424
430,3342336
431,5189632
432,6850560
433,7274496
434,5851136
435,4077568
436,5476352
437,6811648
438,6422528
439,6049792
440,4149248
441,5187584
