,bandwidth
0,0
1,0
2,300000
3,833846
4,859792
5,930922
6,1005430
7,1077795
8,1153038
9,1237747
10,1317095
11,1415727
12,1438925
13,1520064
14,1642669
15,1766178
16,1886436
17,1084631
18,1167346
19,1257881
20,1359511
21,1431733
22,1516464
23,1624726
24,1751061
25,1878494
26,2012729
27,2072217
28,2219837
29,2286129
30,2418176
31,2574907
32,1304276
33,1394501
34,1488422
35,1569051
36,1614647
37,1713525
38,1226439
39,1293491
40,1397970
41,1510369
42,1632048
43,1763775
44,1890387
45,2014403
46,2175751
47,1218508
48,1253855
49,1760421
50,527345
51,570533
52,615860
53,649471
54,697713
55,733643
56,793334
57,838838
58,865494
59,899517
60,950963
61,1000694
62,1054675
63,671030
64,718177
65,776631
66,506927
67,535561
68,572416
69,615310
70,375135
71,379135
72,380938
73,382082
74,389114
75,390255
76,170531
77,185078
78,185078
79,189152
80,198338
81,205911
82,215131
83,222430
84,231241
85,240767
86,251155
87,265441
88,264595
89,272680
90,279058
91,289214
92,294910
93,299159
94,196943
95,212663
96,230676
97,248797
98,269701
99,193583
100,202406
101,207483
102,216275
103,226422
104,234018
105,244068
106,254164
107,266822
108,276985
109,291683
110,316018
111,338184
112,366239
113,396299
114,424733
115,458583
116,496018
117,528906
118,574995
119,621995
120,668283
121,713533
122,769968
123,817688
124,521475
125,551145
126,592160
127,637174
128,689148
129,733127
130,494648
131,494648
132,405929
133,439403
134,392994
135,396374
136,407116
137,436629
138,471830
139,510576
140,546561
141,584055
142,631779
143,680644
144,730336
145,786946
146,840294
147,908518
148,982199
149,1050331
150,1135357
151,1174749
152,862974
153,862974
154,862974
155,869980
156,879165
157,887218
158,777156
159,812859
160,878888
161,950199
162,1027215
163,1105213
164,733602
165,781186
166,837093
167,892373
168,928983
169,1003564
170,1076752
171,1154799
172,1246989
173,1321763
174,1419099
175,1136007
176,1140842
177,805192
178,868988
179,939507
180,1014645
181,1096817
182,1176052
183,1255945
184,1355059
185,1460851
186,1561966
187,1668432
188,1728116
189,829567
190,896932
191,969687
192,1039737
193,1110489
194,1187983
195,1284022
196,683724
197,739422
198,792615
199,857024
200,926165
201,988484
202,1057724
203,559840
204,605627
205,652469
206,705667
207,758134
208,819785
209,869013
210,923991
211,998910
212,1066935
213,1156660
214,1246772
215,1345393
216,1447777
217,1549375
218,1656814
219,1790359
220,1924841
221,2050619
222,1356350
223,1456091
224,1571829
225,1659982
226,1793781
227,1938283
228,2066880
229,2227615
230,2394627
231,2586252
232,2733008
233,2878520
234,2919999
235,2954812
236,1701488
237,1829935
238,1338636
239,1338636
240,1348276
241,1358581
242,1188300
243,1248201
244,1323937
245,1425928
246,1507967
247,1617989
248,1732670
249,1866162
250,2011690
251,2162783
252,1465366
253,1465366
254,1482252
255,1489474
256,1498935
257,1508714
258,1513823
259,1522993
260,1533627
261,1544819
262,1552824
263,1561710
264,1573447
265,1584903
266,1597231
267,1606942
268,1617857
269,1363352
270,1368246
271,1379672
272,1391882
273,1402165
274,1411770
275,1423803
276,1435029
277,939448
278,943540
279,953714
280,965203
281,975940
282,987765
283,687650
284,693641
285,704211
286,714285
287,725774
288,735711
289,746856
290,758386
291,768085
292,778669
293,788944
294,799065
295,567499
296,576943
297,586603
298,594536
299,600810
300,607646
301,506921
302,516893
303,528341
304,537363
305,551569
306,563789
307,576006
308,584507
309,438124
310,447358
311,455898
312,476886
313,495553
314,521834
315,563501
316,607364
317,656953
318,707104
319,764072
320,819135
321,876565
322,945516
323,1004991
324,1071080
325,1157766
326,1250655
327,1351707
328,1460844
329,1551576
330,1662372
331,1773252
332,1885573
333,2036686
334,1245335
335,1312756
336,1418776
337,1533278
338,1651882
339,1785033
340,1810457
341,1874421
342,2008616
343,2170305
344,2339786
345,2414049
346,2520023
347,2699480
348,2792330
349,3016716
350,3192055
351,3192055
352,3311547
353,3409016
354,3511405
355,3574389
356,2772000
357,2815166
358,2955594
359,2998153
360,3152010
361,3240330
362,3241330
363,3501636
364,3763851
365,3777652
366,1966075
367,2268088
368,2324370
369,2471602
370,1233570
371,1233570
372,1233570
373,1333256
374,1440916
375,1465038
376,1465038
377,1583241
378,1710900
379,1226875
380,884187
381,887873
382,897651
383,907228
384,915873
385,925505
386,935890
