"bandwith.googActualEncBitrate","bandwith.googAvailableSendBandwidth","bandwith.googAvailableReceiveBandwidth","bandwith.googRetransmitBitrate","bandwith.googTargetEncBitrate","bandwith.googTransmitBitrate","result.video.send.availableBandwidth","result.video.recv.availableBandwidth","result.results.packetsLost","result.results.packetsReceived","result.results.googTargetDelayMs","result.results.googCurrentDelayMs","result.results.googJitterBufferMs"
"0","0","0","0","0","0","0.0","0","0","0","0","0","0"
"0","0","0","0","0","0","0.0","0","0","0","0","0","0"
"0","300000","0","0","225200","1159158","7.5","0","0","1","0","0","0"
"348848","833846","0","0","742870","346792","42.6","0","0","52","51","51","40"
"585960","859792","0","12560","750628","619728","74.7","0","0","126","49","49","38"
"658432","930922","0","28488","800493","720480","87.9","0","0","218","51","51","40"
"762736","1005430","0","38104","862448","823488","101.5","0","0","300","55","55","44"
"818816","1077795","0","42040","926629","879376","107.3","0","0","397","58","56","47"
"838192","1153038","0","21768","1010896","918216","112.1","0","0","471","73","73","62"
"955864","1237747","0","31072","1091489","1024504","125.1","0","0","593","93","93","82"
"1011888","1317095","0","62936","1134417","1130248","138.0","0","0","726","86","86","75"
"970944","1415727","0","71544","1220566","1102408","132.9","0","0","850","87","87","76"
"1110176","1438925","0","73536","1237627","1237032","151.0","0","0","985","88","88","77"
"1117720","1520064","0","81968","1305521","1232968","150.5","0","0","1139","85","85","74"
"1252672","1642669","0","63968","1415451","1322560","161.4","0","0","1297","82","82","71"
"1298296","1766178","0","75944","1539825","1476248","181.3","0","0","1477","84","84","73"
"1454928","1886436","0","57312","1627383","1506848","183.9","0","0","1675","104","104","93"
"1047056","1084631","0","65744","927605","1214280","145.0","0","0","1871","99","99","88"
"1037448","1167346","0","73528","987621","1113032","135.9","0","0","2085","96","96","85"
"1031784","1257881","0","37856","1105671","1109400","135.4","0","0","2296","101","101","90"
"1102056","1359511","0","41296","1197419","1156560","141.2","0","0","2501","98","97","87"
"1073128","1431733","0","40224","1283239","1138632","139.0","0","0","2693","98","98","87"
"1190080","1516464","0","57472","1327263","1272336","155.3","0","0","2919","97","97","86"
"1127472","1624726","0","55464","1427250","1218464","148.7","0","0","3127","96","96","85"
"1395256","1751061","0","84120","1523047","1494504","182.4","0","0","3334","95","95","84"
"1401928","1878494","0","65400","1612474","1530552","186.8","0","0","3543","103","103","92"
"1475136","2012729","0","49504","1700000","1549160","189.1","0","0","3739","102","102","91"
"1629056","2072217","0","58888","1700000","1745608","213.1","0","0","3955","98","98","87"
"1634376","2219837","0","102392","1700000","1775304","216.7","0","0","4150","98","98","87"
"1597328","2286129","0","132152","1700000","1865712","226.7","0","0","4361","94","94","83"
"1633360","2418176","0","92360","1700000","1792936","217.8","0","0","4587","93","93","81"
"1753200","2574907","0","109784","1700000","1959832","239.2","0","0","4805","89","89","77"
"1657136","1304276","0","151352","939651","1775528","201.2","0","0","5028","88","88","76"
"790272","1394501","0","92248","908582","1381496","168.6","0","0","5234","89","89","77"
"766720","1488422","0","56536","931745","1357496","164.7","0","0","5438","91","90","79"
"699536","1569051","0","52864","1034798","1026600","124.4","0","0","5633","97","92","77"
"960280","1614647","0","6192","1193166","1229512","150.1","0","0","5848","97","97","78"
"1121768","1713525","0","57848","1232777","1467240","179.1","0","0","6048","97","97","80"
"1202832","1226439","0","74488","864252","1575944","192.4","0","0","6263","115","98","78"
"888616","1293491","0","46048","885258","1237368","150.0","0","0","6464","115","115","77"
"941968","1397970","0","15672","999889","1232160","151.3","0","0","6678","115","115","77"
"968400","1510369","0","23136","1088672","1278856","155.2","0","0","6854","115","115","79"
"1004232","1632048","0","55472","1152284","1352184","165.1","0","0","7022","115","115","79"
"1047424","1763775","0","32112","1278168","1381400","168.6","0","0","7199","115","115","79"
"1169824","1890387","0","56920","1304318","1606720","196.1","0","0","7358","115","115","79"
"1231920","2014403","0","48576","1384791","1658512","202.5","0","0","7539","115","115","77"
"1270656","2175751","0","8232","1533528","1751744","208.8","0","46","7695","115","115","77"
"504400","1218508","0","305800","684020","1058472","126.1","0","46","7804","115","115","88"
"239872","1253855","0","6144","721140","359136","43.8","0","46","8068","141","117","87"
"897296","1760421","0","43280","1089549","1260536","153.9","0","46","8306","156","135","84"
"615472","527345","0","40096","352905","771864","93.3","0","46","8539","156","156","83"
"278968","570533","0","24504","319594","538568","64.7","0","46","8778","188","157","83"
"277632","615860","0","18968","388154","420280","49.8","0","46","9002","204","188","82"
"309640","649471","0","25112","411376","440864","53.8","0","46","9223","204","204","81"
"359704","697713","0","22496","460750","516360","60.8","0","46","9453","229","205","81"
"430840","733643","0","13480","492718","580440","70.9","0","46","9687","229","229","79"
"464176","793334","0","16344","532422","651768","78.8","0","46","9892","245","232","79"
"536448","838838","0","28184","550158","736224","89.9","0","46","10071","245","245","81"
"517048","865494","0","21808","696919","552008","67.4","0","46","10254","230","230","81"
"689920","899517","0","44392","756285","755072","92.2","0","46","10428","230","230","82"
"726672","950963","0","22424","820020","781232","94.4","0","46","10614","230","230","79"
"756616","1000694","0","38792","856998","828152","101.1","0","46","10806","230","230","77"
"821576","1054675","0","62168","893477","905800","110.6","0","46","10999","230","230","75"
"839496","671030","0","58696","539369","760056","91.9","0","46","11175","213","213","75"
"448216","718177","0","23480","609259","663824","81.0","0","46","11332","180","180","77"
"489360","776631","0","23848","656468","533096","65.1","0","46","11498","163","163","79"
"536752","506927","0","19008","414648","567968","68.5","0","46","11666","163","163","79"
"515968","535561","0","14952","449841","502832","61.4","0","46","11820","163","163","80"
"377264","572416","0","13312","471685","482632","58.2","0","46","12000","163","163","79"
"424808","615310","0","13616","517047","446352","54.5","0","46","12197","163","163","77"
"491336","375135","0","7800","297913","423296","50.8","0","46","12379","163","163","75"
"272152","379135","0","19936","307847","356016","43.5","0","46","12563","163","163","77"
"72656","380938","0","37536","240575","177280","21.6","0","46","12688","163","163","84"
"190184","382082","0","0","224827","268936","32.8","0","50","12804","163","163","89"
"207088","389114","0","0","231839","306688","36.4","0","56","12941","163","163","88"
"223440","390255","0","24760","227855","324400","38.6","0","56","13071","163","163","94"
"68456","170531","0","32112","63155","157416","16.2","0","56","13270","108","108","97"
"19864","185078","0","7376","107158","33288","4.1","0","56","13330","119","112","99"
"42664","185078","0","0","89323","65744","8.0","0","56","13489","143","123","99"
"92328","189152","0","2856","105960","121128","14.5","0","56","13630","160","149","98"
"127896","198338","0","0","136298","137888","16.8","0","56","13780","179","164","96"
